replicate,C0-R@42,C0-R@1337,C0-R@20260703,C1-M@42,C1-M@1337,C1-M@20260703,C4-M@42,C4-M@1337,C4-M@20260703,C4MixFT-M@42,C4MixFT-M@1337,C4Mix-M@42,C4Mix-M@1337,C4R-M@42,C4R-M@1337
447,0.401366,0.405480,0.414264,0.426100,0.413562,0.400358,0.405219,0.389630,0.416940,0.394976,0.416683,0.394315,0.405740,0.425411,0.383426
452,0.410256,0.403668,0.422623,0.406437,0.415460,0.409591,0.407046,0.398218,0.415148,0.404586,0.412995,0.388977,0.415857,0.419765,0.393311
453,0.390868,0.400599,0.406852,0.408384,0.396070,0.384135,0.396266,0.369852,0.406832,0.392112,0.406522,0.377884,0.401504,0.405536,0.377348
454,0.410781,0.407125,0.407995,0.411738,0.411077,0.405661,0.410505,0.394578,0.407991,0.403381,0.408753,0.391678,0.408872,0.419367,0.390756
455,0.406816,0.396858,0.404318,0.413230,0.411464,0.396607,0.410515,0.371549,0.398162,0.404945,0.404338,0.390385,0.401657,0.414340,0.384108
448,0.408637,0.408637,0.413408,0.412440,0.426289,0.414503,0.412435,0.398576,0.414076,0.409861,0.424967,0.396872,0.413418,0.425094,0.399197
449,0.407029,0.415076,0.405930,0.412190,0.416730,0.406248,0.399941,0.384946,0.405225,0.394550,0.391004,0.393483,0.406279,0.412307,0.384093
450,0.397452,0.399788,0.408961,0.420903,0.420016,0.387504,0.416401,0.385617,0.405967,0.386812,0.416285,0.394920,0.399618,0.421547,0.391432
451,0.377716,0.380486,0.382363,0.383784,0.386393,0.367534,0.372095,0.364417,0.376805,0.375692,0.382200,0.356597,0.389187,0.393428,0.352199
456,0.407596,0.410094,0.407578,0.406224,0.423404,0.405059,0.399391,0.378517,0.410161,0.400179,0.395989,0.390528,0.414977,0.415747,0.383866
457,0.406257,0.411336,0.419252,0.418886,0.420959,0.400712,0.404824,0.395175,0.420894,0.420259,0.418447,0.403551,0.411491,0.425325,0.392140
458,0.417030,0.424934,0.416096,0.423993,0.420154,0.403638,0.418263,0.397407,0.419972,0.415616,0.419437,0.400771,0.419004,0.430697,0.401172
459,0.415959,0.402085,0.420558,0.419915,0.432322,0.408736,0.419412,0.403850,0.412776,0.412904,0.423728,0.401826,0.426045,0.421868,0.402992
460,0.394367,0.404511,0.394515,0.399526,0.408616,0.388679,0.402826,0.376370,0.393829,0.387660,0.394698,0.382272,0.390882,0.403082,0.392783
461,0.409268,0.419311,0.409508,0.416943,0.416243,0.403311,0.415427,0.389480,0.411020,0.395406,0.409732,0.393848,0.412445,0.412248,0.394854
462,0.394351,0.379672,0.387671,0.383056,0.404499,0.373909,0.388182,0.371278,0.381893,0.387432,0.399679,0.379876,0.389111,0.403672,0.374661
463,0.386535,0.392670,0.397452,0.401577,0.394273,0.376762,0.384258,0.369589,0.392449,0.392314,0.383484,0.370338,0.395828,0.395567,0.360194
464,0.411873,0.406857,0.410986,0.405989,0.417024,0.394646,0.412087,0.385414,0.406768,0.413474,0.404508,0.402892,0.409471,0.412890,0.383662
465,0.401426,0.399737,0.399515,0.410970,0.408890,0.388087,0.405897,0.384133,0.400859,0.401069,0.403146,0.385278,0.405076,0.408929,0.391306
466,0.423433,0.412169,0.413215,0.417833,0.419417,0.415036,0.418363,0.385137,0.410631,0.413559,0.422698,0.400030,0.410905,0.419235,0.393258
467,0.392910,0.377709,0.391539,0.402947,0.393245,0.385996,0.394880,0.361785,0.394227,0.388838,0.384838,0.376844,0.389918,0.398486,0.361826
468,0.425732,0.424162,0.430062,0.429405,0.433965,0.418458,0.437220,0.407682,0.431144,0.419997,0.434977,0.409919,0.434736,0.431614,0.415143
469,0.401953,0.403379,0.414996,0.399732,0.418080,0.395802,0.411197,0.386155,0.407407,0.412790,0.426694,0.403332,0.416567,0.421482,0.395217
470,0.393665,0.384429,0.389757,0.404923,0.395751,0.401829,0.383609,0.378197,0.402659,0.392843,0.390718,0.378607,0.390859,0.394422,0.370427
471,0.426245,0.411048,0.414481,0.428258,0.426567,0.425482,0.414493,0.399563,0.417751,0.416405,0.417516,0.407023,0.422733,0.416950,0.402427
476,0.416584,0.407418,0.414902,0.426419,0.416584,0.401968,0.423841,0.398406,0.409716,0.402233,0.412834,0.401593,0.411263,0.414295,0.401960
477,0.406109,0.407900,0.407815,0.405756,0.407831,0.399479,0.413640,0.378234,0.399621,0.401107,0.404478,0.392814,0.406913,0.405479,0.392506
478,0.408734,0.395307,0.411820,0.402010,0.410648,0.388088,0.408329,0.376097,0.405790,0.403553,0.413261,0.401073,0.411660,0.420084,0.387873
479,0.436101,0.434056,0.433434,0.433413,0.439581,0.419514,0.435799,0.410294,0.424072,0.412391,0.427003,0.416989,0.440688,0.440080,0.413997
472,0.418650,0.414909,0.412912,0.418421,0.419357,0.410460,0.404656,0.390834,0.409887,0.400488,0.416356,0.394760,0.414728,0.416679,0.389200
473,0.396163,0.395643,0.395521,0.403893,0.403389,0.383134,0.401477,0.376171,0.394644,0.386794,0.402165,0.384144,0.397619,0.401966,0.386054
474,0.387871,0.380892,0.389893,0.389801,0.401213,0.377633,0.384749,0.363186,0.393362,0.381053,0.395170,0.379742,0.392705,0.402946,0.381551
475,0.411496,0.404661,0.417480,0.410152,0.423676,0.397863,0.409800,0.400548,0.408954,0.398107,0.426383,0.392703,0.413738,0.420535,0.385782
484,0.390478,0.400611,0.406699,0.420435,0.409339,0.396866,0.417918,0.383847,0.406132,0.400178,0.411488,0.398414,0.409951,0.411310,0.382765
485,0.402563,0.401250,0.410590,0.406217,0.414558,0.399424,0.405295,0.390569,0.409490,0.402323,0.407495,0.388891,0.416903,0.411534,0.384731
486,0.399003,0.404412,0.398630,0.402173,0.407681,0.392310,0.401709,0.377387,0.408755,0.396221,0.404236,0.385170,0.407770,0.410180,0.372054
487,0.414403,0.413751,0.410503,0.419701,0.421242,0.402960,0.411965,0.386115,0.416018,0.410045,0.419100,0.395432,0.423573,0.420643,0.397260
480,0.392281,0.391133,0.394268,0.393299,0.399218,0.374209,0.388346,0.375231,0.395559,0.381864,0.395870,0.372144,0.396747,0.404129,0.375685
481,0.415838,0.401875,0.411520,0.420801,0.424481,0.404789,0.415529,0.382799,0.408022,0.413638,0.402673,0.390491,0.414051,0.414892,0.395227
